,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
LIN,0.0,0.0,0.0,0.0,0.0,0.0,0.11458249893460391,0.010832361729293123,0.04608452844473885,0.0,0.01578854832017402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04229155051888404,0.0,0.0,0.1310440390994847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.040745615494870435,0.0,0.0,0.046710718433556606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017851367265253014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08546633008234956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
META,0.07859173412598028,0.0,0.07035100077505736,0.0,0.0,0.1746567612916677,0.0,0.0,0.010552106869302672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754215249366619,0.0,0.017315584460669577,0.0,0.0,0.0,0.015735191408931766,0.0017850982448633227,0.0,0.1831611806125894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06152644810757473,0.0,0.0874864060540994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0.023362816497568297,0.0,0.0,0.0,0.0,0.0,0.03479141698662442,0.0606888027174768,0.0,0.14374378028439325,0.11567625475460704,0.061047675309308075,0.0,0.03143034567901758,0.004802486889675895,0.0,0.01401309256596802,0.008089491284607498,0.0355578540924719,0.0,0.04456169398976604,0.0,0.0,0.025713401188980987,0.0351261072930448,0.005383349909247632,0.24405019286532276,0.04932568335629018,0.0,0.10818690649904247,0.0,0.040745615494870435,0.0,0.0,0.0,0.0,1.0,0.024566898411627642,0.0,0.03550244027494381,0.0,0.0,0.0,0.010756388316669125,0.004209734023128849,0.0,0.0,0.0,0.035634216789504555,0.024817541020035354,0.0,0.08071447482493647,0.0,0.0
MSFT,0.12581947926813103,0.0,0.16387049047050908,0.0,0.0,0.11180577739889838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08417737557342896,0.0,0.0,0.0,0.007272179849937258,0.0,0.0011412342908749848,0.02639888027859606,0.0,0.13448423090836073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06152644810757473,0.0,0.024566898411627642,1.0,0.0,0.14056885618108117,0.0,0.0,0.0,0.003223335110381255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEE,0.0,0.0,0.0,0.10730933035359964,0.06847624613451726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002814260717681,0.0,0.0,0.011666668943938932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06386605001790771,0.0,0.1185965519927103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,0.14426852408393478,0.0,0.13880040445377498,0.0,0.0,0.10015421413006259,0.024464268574205295,0.011304229631482273,0.008514669100844124,0.0,0.0,0.012303744386258064,0.0,0.01993859148817394,0.0,0.09606238289639926,0.10756752318532821,0.0,0.03718919045943717,0.0,0.037586076848888525,0.0,0.06256147183522001,0.020334795391289937,0.02463627798332207,0.0889624722625732,0.024974624469012097,0.004130370364429602,0.0,0.0,0.0,0.046710718433556606,0.017851367265253014,0.0,0.0874864060540994,0.0,0.03550244027494381,0.14056885618108117,0.0,1.0,0.0,0.0,0.0,0.03511273267913811,0.0,0.0,0.0,0.0,0.015244598685973306,0.0723662665694273,0.0,0.0,0.0,0.0
PEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
