,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
GOOGL,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.55,0.8,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.1,0.0,0.15,0.0,0.0,0.8,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GS,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.0,1.0,0.95,0.0,0.65,0.0,0.0,0.4,0.2,0.3,0.0,0.15,0.0,0.0,1.0,0.75,0.15,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.55,0.0,0.75,0.0,0.05,0.05,0.0,1.0,0.0,0.0
HON,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,0.55,1.0,0.95,0.0,0.0,0.45,0.0,0.0,0.25,0.05,0.0,0.95,0.0,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.8,0.0,0.15,0.0,0.0,0.2,0.0,1.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.05,0.0,0.0,0.7,0.0,0.0
JNJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,0.0,0.05,0.0,0.0,0.0,0.0,0.1,1.0,0.8,1.0,1.0,0.5,0.0,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.15,0.1,0.0,0.5,0.75,0.0,1.0,0.8,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.45,0.0,0.1,0.0,0.0,1.0,0.0,0.0
KO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIN,0.05,0.0,0.25,0.0,0.0,0.0,1.0,0.8,1.0,0.1,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.0,0.15,0.0,0.2,0.0,1.0,0.0,0.0,0.15,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,0.0,0.65,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.05,0.15,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
LMT,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
META,1.0,0.0,1.0,0.0,0.0,1.0,0.15,0.35,0.5,0.0,0.1,0.0,0.0,0.55,0.0,0.0,1.0,0.0,0.85,0.0,0.55,0.0,0.9,0.4,0.15,1.0,0.15,0.2,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
MRK,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
MS,1.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.15,1.0,1.0,1.0,0.0,1.0,0.65,0.0,0.85,0.65,1.0,0.0,1.0,0.0,0.0,0.95,1.0,0.65,1.0,1.0,0.0,1.0,0.0,1.0,0.05,0.0,0.15,0.0,1.0,1.0,0.0,1.0,0.05,0.2,0.05,0.65,0.6,0.0,0.0,0.15,0.9,0.95,0.0,1.0,0.05,0.0
MSFT,1.0,0.05,1.0,0.0,0.05,1.0,0.2,0.4,0.4,0.0,0.15,0.0,0.0,0.1,0.0,0.1,1.0,0.0,0.05,0.0,0.65,0.0,0.45,0.9,0.0,1.0,0.05,0.1,0.0,0.0,0.0,0.2,0.15,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.05,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
NEE,0.0,0.0,0.05,1.0,0.95,0.0,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,1.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,1.0,0.1,1.0,0.0,0.0,1.0,0.8,0.65,0.65,0.0,0.0,0.75,0.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.95,0.0,1.0,0.9,0.8,1.0,0.95,0.6,0.0,0.0,0.0,1.0,0.8,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.65,1.0,0.0,0.0,0.05,0.0
PEP,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.15,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,1.0,0.0,0.05,0.15,0.0,0.05,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0
